,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,pensais,thought
6,6,6,aide,help
7,7,7,demande,request
8,8,8,genre,kind
9,9,9,mois,month
10,10,11,laisser,let
11,11,12,car,because
12,12,13,mettre,to put
13,13,14,aucun,no
14,14,15,laisse,leash
15,15,16,eux,them
16,16,17,ville,city
17,17,18,parlé,speak
18,18,19,devrait,should
19,19,20,bébé,baby
20,20,21,longtemps,long time
21,21,22,heures,hours
22,22,23,vont,will
23,23,24,pendant,while
24,24,25,revoir,meet again
25,25,27,place,square
26,26,28,parle,speak
27,27,29,compris,understood
28,28,30,savais,knew
29,29,31,étaient,were
30,30,32,voici,here is
31,31,33,pourrais,could
32,32,34,affaire,case
33,33,35,donner,give
34,34,36,type,type
35,35,37,leurs,their
36,36,38,donné,given
37,37,40,corps,body
38,38,44,dont,whose
39,39,45,trouve,find
40,40,47,perdu,lost
41,41,49,première,first
42,42,50,côté,side
43,43,51,pouvoir,power
44,44,52,vieux,old
45,45,53,sois,be
46,46,54,tiens,here
47,47,55,matin,morning
48,48,56,tellement,so much
49,49,57,enfant,child
50,50,58,point,point
51,51,59,venu,came
52,52,60,suite,after
53,53,61,pardon,sorry
54,54,62,devant,in front of
55,55,63,vers,towards
56,56,64,minutes,minutes
57,57,65,demandé,request
58,58,66,chambre,bedroom
59,59,67,mis,placed
60,60,68,belle,beautiful
61,61,69,droit,law
62,62,70,aimerais,would like to
63,63,71,aujourd'hui,today
64,64,72,mari,husband
65,65,73,cause,cause
66,66,74,enfin,finally
67,67,75,espère,hope
68,68,76,eau,water
69,69,77,attendez,Wait
70,70,78,parti,left
71,71,79,nouvelle,new
72,72,80,boulot,job
73,73,81,arrêter,Stop
74,74,82,dirait,would say
75,75,83,terre,Earth
76,77,85,donne,given
77,78,86,loin,far
78,79,87,fin,end
79,80,89,chérie,sweetheart
80,81,90,gros,large
81,82,91,plutôt,rather
82,83,92,aura,will have
83,84,93,filles,girls
84,85,94,jouer,to play
85,86,95,bureau,office
